Population 0 to 15 years,Population aged 16 to 24 years,Population aged 25 to 64 years,Population aged 65 years and over
18.4,7.2,53.6,20.7
21.7,7.1,57,14.3
21.5,9.6,56.8,12
20.7,7.7,54.8,16.8
20.4,6.7,57,15.9
22.1,8.9,54.8,14.2
17.1,10.4,61.5,11
15.8,10.6,65.7,7.9
12,10.3,70.1,7.6
14.5,12.2,66.3,7
17.8,10.1,62.3,9.8
16.4,10.2,66.2,7.2
19.7,11.5,62.6,6.2
22.7,10.9,59.9,6.5
15.1,14.3,63.2,7.3
18.5,11.1,62.1,8.3
12.9,10.8,69.6,6.8
13.5,9.2,69.8,7.4
18.2,8.9,64.3,8.5
9.7,13.1,71.4,5.8
17.1,9.5,66.1,7.3
15.5,11.2,64.4,8.9
15.8,9.6,67.8,6.7
17.1,8.2,66.7,8
14.1,7.8,71,7.1
16.1,10.7,66.4,6.9
19.5,10,63.9,6.6
18.8,8.3,64.8,8.1
23.3,11,58,7.8
21.5,7.5,60.7,10.3
18,8,66.3,7.6
21,7.4,63.5,8.1
22.2,7.8,62.4,7.7
16.1,7.3,67.6,9
21,7.7,59.5,11.8
27.2,9,54.4,9.4
18.4,8.2,66.7,6.7
22.6,7.6,61.8,8
18.8,7.6,63.1,10.4
20.7,9.7,58.2,11.4
18.8,13.9,62.3,5.1
24,11.9,57.5,6.6
19.7,14,60.3,6
16.4,16.3,60.9,6.4
17.1,12.4,62,8.5
19.5,9.3,62,9.2
16.1,11.3,65.9,6.7
16.6,6.6,63.6,13.1
20.9,10.8,61.9,6.4
16,11.3,63.4,9.2
18.4,10.7,64,7
19.7,8.7,61.8,9.8
18.9,12.1,58.6,10.5
21.8,7,61.6,9.5
20.6,8,59.2,12.2
18.5,9.2,64.3,8
22.2,9.9,59.3,8.6
20,7.7,63.1,9.1
22.7,9.4,59.7,8.1
21.8,6.7,62,9.5
21.5,10.6,56.9,11
20.4,8.7,58.2,12.7
20.5,7.3,62.7,9.4
20.3,11.2,56.3,12.2
24.9,10.6,54.5,9.9
21.5,9.1,59.1,10.3
22.4,9.2,59.2,9.2
23.5,9.2,55.3,12
24.4,11.7,52.4,11.5
22.6,9.9,55.4,12
22,8,58.7,11.3
26.5,10.1,54.6,8.7
20,9.1,59.3,11.6
24.4,8.1,58.3,9.3
18.5,7.6,49.4,24.5
19.4,8.3,62.1,10.2
17.1,5.8,59.9,17.3
15.1,8.6,67.7,8.6
19.8,7.3,63.8,9.1
18.6,9.6,59.4,12.4
18.8,9.5,63.5,8.3
18.4,8.3,65.3,8
22.7,6.1,54.7,16.5
22.4,6.8,59.2,11.5
21.4,9.3,60.5,8.8
22.3,10.2,56.7,10.7
24.3,10.3,55.6,9.8
20.4,8.6,53.3,17.7
18.2,7.7,61.5,12.6
20.5,10.7,56,12.8
26.1,10.1,54.9,8.8
24.1,12.2,52.7,11
